Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NDAQ,76.83,20/05/2015,16:00 EST,0.16000366,76.8,77.17,76.6,923380,20150520,52.3,20,,,,
TSLA,311.35,21/07/2014,16:00 EST,-4.0099792,316.18,316.41,310,3777155,20140721,217.6,5,,,,
IBKR,59.21,29/12/2017,16:00 EST,-0.8100014,60.06,60.13,59.11,11033319,,,,,,,
DIS,107.51,15/11/2013,16:02 EST,-0.2599945,108.05,108.34,107.51,4538403,20131115,70.06,15,,,,
UAA,14.43,11/11/2013,16:04 EST,-1.0900002,15.49,15.582,14.39,16334353,20131111,79.09,20,,,,
UAA,14.43,28/07/2014,16:04 EST,-1.0900002,15.49,15.582,14.39,16334353,20140728,68.85,-10,,,,
UAA,14.43,15/04/2014,16:04 EST,-1.0900002,15.49,15.582,14.39,16334353,20140415,,20,,,,2/1 Stock Split
UAA,14.43,08/04/2016,16:04 EST,-1.0900002,15.49,15.582,14.39,16334353,20160408,,20,,,,2/1 Stock Split
UAA,14.43,20/04/2015,16:04 EST,-1.0900002,15.49,15.582,14.39,16334353,20150420,87.036,-10,,,,
F,12.49,16/08/2013,16:01 EST,-0.09000015,12.58,12.61,12.49,18362455,20130816,16.349,100,,,,
DDD,8.64,28/02/2013,16:03 EST,-0.13000011,8.77,8.86,8.53,3027263,20130228,36.04,10,,,,
NVDA,193.5,,16:00 EST,-3.899994,198.46,198.46,193.5,6999116,,12.568,50,,,,
INTC,46.16,14/02/2013,16:00 EST,-0.060001373,46.21,46.49,46.09,17394491,20130214,21.09,35,,,,
DASTY,106.04,06/03/2013,15:56 EST,0,0,0,0,0,20130206,109.89,5,,,,
DASTY,106.04,13/01/2014,15:56 EST,0,0,0,0,0,20140113,119.02,-5,,,,
ENZL,47.47,30/01/2013,16:00 EST,-0.07999802,47.88,47.94,47.47,10029,20130130,35.982,20,,,,
ENZL,47.47,11/09/2013,16:00 EST,-0.07999802,47.88,47.94,47.47,10029,20130911,36.199,-20,,,,
MSFT,85.54,25/01/2013,16:00 EST,-0.1800003,85.63,86.05,85.51,18717406,20130125,27.96,30,,,,
MSFT,85.54,19/11/2014,16:00 EST,-0.1800003,85.63,86.05,85.51,18717406,20141119,47.796,-10,,,,
KO,45.88,20/02/2013,16:00 EST,0.15999985,45.7,46.18,45.6925,8371536,20130220,36.725,20,,,,
KO,45.88,19/12/2013,16:00 EST,0.15999985,45.7,46.18,45.6925,8371536,20131219,39.929,-20,,,,
